Name,State,Latitude,Longitude,Population
Torbay,Canada,47.65,-52.733333,3097
Saint-Prosper,Canada,46.2,-70.483333,3095
Casselman,Canada,45.3,-75.083333,3074
La Ronge,Canada,55.1,-105.3,3071
Erin,Canada,43.766667,-80.066667,3053
Three Hills,Canada,51.7,-113.266667,3051
Wingham,Canada,43.883333,-81.3,3047
Saint-Pie,Canada,45.5,-72.9,3034
Waterford,Canada,42.933333,-80.283333,3033
Hay River,Canada,60.85,-115.7,3030
Inuvik,Canada,68.35,-133.7,3022
Forest,Canada,43.1,-82,3018
Bobcaygeon,Canada,44.533333,-78.55,3015
Chapleau,Canada,47.833333,-83.4,2991
Saint-Jacques,Canada,45.95,-73.583333,2985
Blind River,Canada,46.183333,-82.95,2966
Havre-Saint-Pierre,Canada,50.25,-63.583333,2966
Carman,Canada,49.5,-98,2948
Botwood,Canada,49.15,-55.366667,2940
Lewisporte,Canada,49.233333,-55.066667,2935
Clermont,Canada,47.683333,-70.233333,2912
Saint-Gabriel,Canada,46.283333,-73.366667,2901
Sackville,Canada,45.883333,-64.35,2891
Lakefield,Canada,44.433333,-78.266667,2888
Beauséjour,Canada,50.066667,-96.516667,2886
Houston,Canada,54.4,-126.65,2884
High Prairie,Canada,55.433333,-116.483333,2878
Invermere,Canada,50.5,-116.033333,2871
Lake Cowichan,Canada,48.816667,-124.033333,2870
Huntingdon,Canada,45.083333,-74.183333,2865
Chandler,Canada,48.333333,-64.666667,2863
Durham,Canada,44.183333,-80.816667,2861
Seaforth,Canada,43.55,-81.383333,2843
Ville-Marie,Canada,47.333333,-79.433333,2831
Enderby,Canada,50.55,-119.133333,2830
Liverpool,Canada,44.033333,-64.716667,2781
Springdale,Canada,49.483333,-56.1,2779
Sicamous,Canada,50.833333,-119,2732
Morrisburg,Canada,44.9,-75.183333,2728
Normandin,Canada,48.833333,-72.516667,2728
Dresden,Canada,42.583333,-82.166667,2727
Chemainus,Canada,48.916667,-123.7,2718
Bedford,Canada,45.116667,-72.983333,2711
Cabano,Canada,47.683333,-68.883333,2710
Princeton,Canada,49.45,-120.5,2706
Portneuf,Canada,46.683333,-71.883333,2694
Disraeli,Canada,45.9,-71.35,2678
Port Stanley,Canada,42.666667,-81.216667,2663
Palmerston,Canada,43.833333,-80.85,2660
Tavistock,Canada,43.316667,-80.833333,2654
Norwich,Canada,42.983333,-80.6,2651
Hampton,Canada,45.533333,-65.833333,2637
Burns Lake,Canada,54.216667,-125.766667,2635
Cumberland,Canada,49.616667,-125.016667,2630
Hagersville,Canada,42.95,-80.05,2624
Brownsburg,Canada,45.683333,-74.4,2597
Lillooet,Canada,50.683333,-121.933333,2585
Riviere-au-Renard,Canada,48.983333,-64.383333,2565
Sainte-Claire,Canada,46.6,-70.85,2565
Winchester,Canada,45.1,-75.35,2564
Grimshaw,Canada,56.183333,-117.6,2560
Athabasca,Canada,54.716667,-113.266667,2539
Sainte-Martine,Canada,45.233333,-73.8,2535
Minnedosa,Canada,50.25,-99.833333,2526
Rigaud,Canada,45.466667,-74.3,2525
Crossfield,Canada,51.433333,-114.033333,2512
Saint Anthony,Canada,51.383333,-55.6,2492
Wiarton,Canada,44.733333,-81.133333,2481
Thurso,Canada,45.583333,-75.233333,2476
Lunenburg,Canada,44.366667,-64.316667,2473
Chase,Canada,50.816667,-119.683333,2471
Saint-Pascal,Canada,47.516667,-69.816667,2465
Saint-Tite,Canada,46.716667,-72.566667,2456
Valcourt,Canada,45.483333,-72.316667,2451
Mattawa,Canada,46.316667,-78.7,2415
Arthur,Canada,43.833333,-80.533333,2413
Fort Saint James,Canada,54.433333,-124.25,2392
Carstairs,Canada,51.533333,-114.1,2370
Killarney,Canada,49.183333,-99.666667,2362
Wabana,Canada,47.65,-52.933333,2362
Saint-Marc-des-Carrières,Canada,46.683333,-72.033333,2358
Geraldton,Canada,49.716667,-86.966667,2349
Metabetchouan,Canada,48.433333,-71.866667,2329
Wyoming,Canada,42.95,-82.116667,2324
Assiniboia,Canada,49.616667,-105.983333,2320
Rosetown,Canada,51.55,-107.983333,2309
Colchester,Canada,41.983333,-82.933333,2307
Elmvale,Canada,44.583333,-79.866667,2298
Redwater,Canada,46.9,-79.633333,2284
Glencoe,Canada,42.75,-81.7,2273
Cornwall,Canada,46.24,-63.21,2272
Berwick,Canada,45.033333,-64.733333,2271
Stirling,Canada,44.3,-77.55,2270
Crabtree,Canada,45.966667,-73.466667,2248
Rimbey,Canada,52.633333,-114.216667,2227
Beaverlodge,Canada,55.2,-119.45,2219
New Richmond,Canada,48.166667,-65.833333,2213
Saint Quentin,Canada,47.5,-67.383333,2207
Moosomin,Canada,50.15,-101.666667,2206
Esterhazy,Canada,50.65,-102.083333,2194
Logan Lake,Canada,50.48,-120.81,2190
Pierreville,Canada,46.066667,-72.8,2172
Linière,Canada,46.05,-70.516667,2167
Colborne,Canada,44.016667,-77.883333,2155
Harriston,Canada,43.916667,-80.883333,2148
Saint-Germain-de-Grantham,Canada,45.833333,-72.566667,2145
Millet,Canada,53.083333,-113.466667,2142
Vankleek Hill,Canada,45.516667,-74.65,2136
Lucan,Canada,43.183333,-81.4,2123
Maple Creek,Canada,49.916667,-109.466667,2121
Cannington,Canada,44.35,-79.033333,2120
Ferme-Neuve,Canada,46.7,-75.45,2115
Unity,Canada,52.433333,-109.166667,2096
Blairmore,Canada,49.6,-114.433333,2095
Magrath,Canada,49.416667,-112.883333,2095
Caledon East,Canada,43.866667,-79.866667,2085
Provost,Canada,52.35,-110.266667,2082
Biggar,Canada,52.05,-107.983333,2068
Moose Factory,Canada,51.25,-80.6,2060
Terrace Bay,Canada,48.783333,-87.1,2060
Grand Bend,Canada,43.316667,-81.75,2059
Canora,Canada,51.633333,-102.433333,2055
Digby,Canada,44.6,-65.75,2052
Wellington,Canada,43.95,-77.35,2052
Saint-Agapit,Canada,46.566667,-71.433333,2048
Les Escoumins,Canada,48.35,-69.416667,2042
Causapscal,Canada,48.35,-67.216667,2033
Wheatley,Canada,42.1,-82.45,2028
Saint-Ambroise,Canada,48.55,-71.316667,2015
Gimli,Canada,50.633333,-97,2009
Montague,Canada,46.166667,-62.65,2005
Calmar,Canada,53.25,-113.783333,2000
Chute-aux-Outardes,Canada,49.116667,-68.383333,2000
Outlook,Canada,51.5,-107.05,1989
Chesley,Canada,44.3,-81.1,1986
Fenelon Falls,Canada,44.533333,-78.75,1979
Thornbury,Canada,44.55,-80.45,1970
Matagami,Canada,49.75,-77.633333,1966
Valleyview,Canada,55.066667,-117.283333,1951
Shelburne,Canada,43.766667,-65.316667,1939
Nanton,Canada,50.35,-113.766667,1936
Saint-Jean-Port-Joli,Canada,47.2,-70.266667,1929
Tofield,Canada,53.366667,-112.666667,1911
Roblin,Canada,51.233333,-101.35,1903
Harbour Breton,Canada,47.483333,-55.833333,1898
Deseronto,Canada,44.2,-77.033333,1897
Salisbury,Canada,46.033333,-65.05,1891
Kamsack,Canada,51.566667,-101.9,1877
Saint-André-Avellin,Canada,45.716667,-75.05,1868
Saint-Anselme,Canada,46.616667,-70.966667,1861
Saint-Gédéon,Canada,48.483333,-71.783333,1859
Grand Valley,Canada,43.9,-80.316667,1856
Temiscaming,Canada,46.716667,-79.083333,1854
Vulcan,Canada,50.4,-113.25,1853
Parkhill,Canada,43.166667,-81.683333,1851
Longlac,Canada,49.783333,-86.55,1846
Cardinal,Canada,44.783333,-75.366667,1837
Saint-Michel-des-Saints,Canada,46.666667,-73.916667,1835
Price,Canada,48.6,-68.116667,1830
Madoc,Canada,44.516667,-77.483333,1827
Chapais,Canada,49.783333,-74.866667,1824
Penhold,Canada,52.133333,-113.866667,1818
Saint Andrews,Canada,45.066667,-67.033333,1809
Milverton,Canada,43.566667,-80.933333,1803
Ashcroft,Canada,50.716667,-121.266667,1796
Wynyard,Canada,51.766667,-104.183333,1793
Bow Island,Canada,49.866667,-111.366667,1792
Lamont,Canada,53.75,-112.783333,1779
Stony Mountain,Canada,50.066667,-97.216667,1770
Danville,Canada,45.783333,-72.016667,1761
Souris,Canada,49.616667,-100.25,1752
Norwood,Canada,44.383333,-77.983333,1746
Sexsmith,Canada,55.35,-118.783333,1743
Morris,Canada,49.35,-97.366667,1742
Saint-Honoré,Canada,47.716667,-69.133333,1742
One Hundred Mile House,Canada,51.65,-121.283333,1737
Pilot Butte,Canada,50.466667,-104.416667,1728
Watford,Canada,42.95,-81.883333,1716
Nakusp,Canada,50.233333,-117.8,1706
Sayabec,Canada,48.55,-67.683333,1702
Hébertville,Canada,48.4,-71.683333,1691
Watrous,Canada,51.666667,-105.466667,1689
Cap-aux-Meules,Canada,47.383333,-61.866667,1686
Englehart,Canada,47.816667,-79.866667,1685
Saint-Donat-de-Montcalm,Canada,46.316667,-74.216667,1685
