City,State,Lat,Long,Pop
Chamalières,France,45.77559,3.063097,18853
Jouy-le-Moutier,France,49.010676,2.040282,18705
Pontarlier,France,46.908792,6.35917,18665
Limeil-Brévannes,France,48.744795,2.48705,18658
Bourg-lès-Valence,France,44.956009,4.910227,18645
Mougins,France,43.598726,7.004343,18615
Riom,France,45.892557,3.113549,18557
Chilly-Mazarin,France,48.714893,2.316378,18523
Bagnols-sur-Cèze,France,44.159897,4.617757,18497
Sélestat,France,48.259323,7.454285,18457
Neuilly-Plaisance,France,48.859523,2.502783,18446
Mitry-Mory,France,48.983333,2.616667,18409
Louviers,France,49.216667,1.166667,18401
Vence,France,43.721624,7.112324,18399
Carvin,France,50.492985,2.96826,18397
Limay,France,48.995532,1.740814,18306
Avion,France,50.410379,2.830534,18305
Le Plessis-Trévise,France,48.810737,2.573626,18254
Lons-le-Saunier,France,46.675351,5.55575,18245
Bourg-la-Reine,France,48.778882,2.317807,18179
Ronchin,France,50.598832,3.09056,18177
Garches,France,48.842257,2.182317,18170
Chaville,France,48.805653,2.188642,18166
Vendôme,France,47.807543,1.057611,18006
Sorgues,France,44.008367,4.874924,17978
Gujan-Mestras,France,44.633333,-1.066667,17953
Bressuire,France,46.839886,-0.489639,17952
Écully,France,45.77726,4.77481,17940
Senlis,France,49.207668,2.584531,17910
Givors,France,45.584146,4.772558,17777
Plaisance-du-Touch,France,43.565663,1.297494,17770
Tourlaville,France,49.638285,-1.566392,17763
Seynod,France,45.885488,6.088313,17733
Challans,France,46.843626,-1.874905,17688
Mauguio,France,43.618096,4.007387,17688
La Chapelle-sur-Erdre,France,47.295835,-1.553093,17646
Bonneuil,France,48.974455,2.431536,17644
Montigny-lès-Cormeilles,France,48.982015,2.200347,17587
Saint-Amand-les-Eaux,France,50.447176,3.43076,17568
Joinville-le-Pont,France,48.82538,2.474576,17542
Les Clayes-sous-Bois,France,48.822056,1.986773,17491
Albertville,France,45.669738,6.387059,17485
Sin-le-Noble,France,50.361594,3.131128,17431
Orsay,France,48.695722,2.187268,17418
Royan,France,45.628461,-1.0281,17408
Carquefou,France,47.298215,-1.490244,17387
Firminy,France,45.387323,4.290744,17356
Saint-Avold,France,49.102696,6.700636,17340
La Crau,France,43.149807,6.074247,17335
Cran-Gévrier,France,45.903908,6.101226,17317
Lucé,France,48.436895,1.463588,17295
Lingolsheim,France,48.558334,7.684356,17242
Cestas,France,44.743446,-0.67905,17230
Villeneuve-le-Roi,France,48.736837,2.400812,17229
Le Pré-Saint-Gervais,France,48.88549,2.404224,17220
Soisy-sous-Montmorency,France,48.988126,2.301558,17214
Bischheim,France,48.610191,7.742446,17164
Marmande,France,44.500371,0.16546,17143
Annonay,France,45.239695,4.670747,17082
Vesoul,France,47.626044,6.142506,17050
Marly-le-Roi,France,48.866667,2.083333,17041
Saint-Jean-de-la-Ruelle,France,47.911271,1.864833,16931
Saint-Cyr-sur-Loire,France,47.4,0.666667,16907
Castelnau-le-Lez,France,43.633331,3.9,16890
Arcueil,France,48.799931,2.332555,16869
Lattes,France,43.567522,3.904604,16857
Toul,France,48.674594,5.892905,16848
Argentan,France,48.745175,-0.018062,16845
Saint-Omer,France,50.748345,2.257656,16785
Vitry-le-François,France,48.727074,4.591969,16714
Bar-le-Duc,France,48.772749,5.161085,16686
La Baule-Escoublac,France,47.285604,-2.394031,16658
Elbeuf,France,49.286688,1.002876,16613
Flers,France,48.737217,-0.574657,16502
Tassin-la-Demi-Lune,France,45.754987,4.788123,16450
Octeville,France,49.626118,-1.643486,16417
Montivilliers,France,49.545182,0.187688,16390
Domont,France,49.027821,2.326384,16314
Verrières-le-Buisson,France,48.745653,2.267956,16288
Verneuil-sur-Seine,France,48.980817,1.966678,16261
Fontainebleau,France,48.405367,2.700199,16217
Le Vésinet,France,48.892811,2.133082,16162
Le Pecq,France,48.89317,2.103714,16151
Bouguenais,France,47.177624,-1.621426,16135
Moissy-Cramayel,France,48.626052,2.601247,16104
Osny,France,49.059366,2.061833,16027
Vitré,France,48.117755,-1.205771,16026
Saran,France,47.950127,1.876014,15983
Floirac,France,44.83238,-0.514107,15928
Bry-sur-Marne,France,48.838106,2.524879,15911
Saint-Leu-la-Forêt,France,49.016667,2.25,15812
Viroflay,France,48.800785,2.161808,15803
Fos-sur-Mer,France,43.438569,4.945717,15783
Saint-Fons,France,45.708803,4.860567,15760
Le Pontet,France,43.96625,4.860409,15747
Sallanches,France,45.936882,6.636638,15747
Morlaix,France,48.58733,-3.825005,15696
Autun,France,46.954878,4.300357,15684
Gentilly,France,48.812937,2.341701,15639
Port-de-Bouc,France,43.406069,4.981073,15621
Saint-Avertin,France,47.363569,0.739933,15619
Wittenheim,France,47.807801,7.337023,15612
La Flèche,France,47.703042,-0.077532,15559
Chenôve,France,47.293232,5.004569,15551
Haubourdin,France,50.608263,2.991429,15508
Crépy-en-Valois,France,49.233587,2.888071,15487
Boissy-Saint-Léger,France,48.751495,2.511632,15451
Lognes,France,48.835407,2.62998,15391
Outreau,France,50.705354,1.589696,15316
Tergnier,France,49.656068,3.301071,15296
Villers-lès-Nancy,France,48.67103,6.150832,15296
Hautmont,France,50.247704,3.924607,15289
Bayeux,France,49.281062,-0.705711,15286
Laxou,France,48.683146,6.147995,15264
Carrières-sous-Poissy,France,48.949521,2.040682,15261
Noisiel,France,48.848675,2.624346,15205
Canteleu,France,49.440654,1.024586,15157
Guérande,France,47.329107,-2.428291,15124
Audincourt,France,47.483271,6.853407,15114
Brie-Comte-Robert,France,48.692468,2.610902,15080
Montbrison,France,45.606096,4.067416,15072
Montargis,France,48.001158,2.753601,15048
Éragny,France,49.016667,2.1,15040
Montesson,France,48.909238,2.137539,14947
Château-Thierry,France,49.05,3.4,14873
Gien,France,47.693316,2.630939,14842
Saint-Maximin-la-Sainte-Baume,France,43.452141,5.862186,14807
Blanquefort,France,44.91248,-0.636633,14791
Châteaudun,France,48.068709,1.343312,14786
Hayange,France,49.334278,6.052675,14729
Illzach,France,47.780882,7.346624,14729
Tulle,France,45.270009,1.773087,14728
Noyon,France,49.583333,3,14711
Saint-Pierre-des-Corps,France,47.386229,0.748487,14679
Coulommiers,France,48.81451,3.084983,14672
Lourdes,France,43.099998,-0.05,14671
Pont-à-Mousson,France,48.907861,6.058897,14657
Berck,France,50.408139,1.577515,14638
Courcouronnes,France,48.614287,2.407623,14617
Wattignies,France,50.586392,3.043938,14474
Bollène,France,44.28476,4.75303,14470
Bailleul,France,50.735924,2.735944,14450
Avon,France,48.402195,2.720223,14436
Les Herbiers,France,46.866667,-1.016667,14433
Landerneau,France,48.452517,-4.252517,14419
Cugnaux,France,43.536188,1.344141,14348
Montmagny,France,48.973377,2.346885,14305
Mennecy,France,48.569028,2.443839,14216
Beaucaire,France,43.808365,4.63946,14162
Romilly-sur-Seine,France,48.510852,3.726338,14158
Anzin,France,50.372014,3.50387,14153
Villeneuve-Loubet,France,43.666628,7.120396,14120
Châteaurenard,France,43.882248,4.853279,14088
Tarascon,France,43.805769,4.665598,14080
Billère,France,43.299999,-0.4,14055
Issoire,France,45.548695,3.249423,14034
Saint-Maurice,France,48.821815,2.427157,13975
Longwy,France,49.519364,5.768815,13971
Creutzwald,France,49.199657,6.689863,13970
Mayenne,France,48.302042,-0.618914,13969
Balma,France,43.610145,1.503705,13955
Guéret,France,46.172337,1.874562,13834
Pontivy,France,48.066539,-2.96442,13789
Châlette-sur-Loing,France,48.013368,2.735871,13771
Nemours,France,48.27511,2.690778,13743
Rive-de-Gier,France,45.530668,4.621306,13733
Ollioules,France,43.135174,5.848004,13730
Pont-Sainte-Maxence,France,49.301677,2.604673,13709
Issoudun,France,46.948477,1.993623,13676
Fourmies,France,50.015318,4.047837,13610
Brignoles,France,43.405419,6.062253,13579
Raismes,France,50.383333,3.483333,13554
Fontenay-le-Comte,France,46.465715,-0.800487,13535
Saint-Jean-de-Luz,France,43.389075,-1.658095,13523
Woippy,France,49.149465,6.149088,13508
Caudry,France,50.124905,3.411859,13503
Sarrebourg,France,48.734217,7.056016,13458
Harnes,France,50.446427,2.904812,13440
Méru,France,49.233333,2.133333,13430
Hendaye,France,43.37172,-1.773821,13423
Hennebont,France,47.805121,-3.273366,13423
Bois-Guillaume,France,49.460197,1.12219,13395
Cusset,France,46.130017,3.459632,13359
Saint-Brice-sous-Forêt,France,49.001318,2.353607,13356
Rixheim,France,47.751403,7.400913,13348
Sainte-Maxime,France,43.309716,6.628328,13291
Beausoleil,France,43.749038,7.417022,13268
Roncq,France,50.753296,3.121314,13251
Avrillé,France,47.5,-0.583333,13219
Sablé-sur-Sarthe,France,47.839422,-0.329716,13182
