City,State,Latitude,Longitude,Population
Temryuk,Russia,45.270547,37.387161,36547
Novokubansk,Russia,45.117,41.0267,36402
Sukhoy Log,Russia,56.9094,62.0296,36329
Slantsy,Russia,59.118169,28.091374,36209
Teykovo,Russia,56.85796,40.536915,36016
Blagodarnyy,Russia,45.097778,43.436389,35996
Chernushka,Russia,56.507215,56.076613,35942
Yalutorovsk,Russia,56.653582,66.300575,35892
Valuyki,Russia,50.2035,38.1067,35887
Gulkevichi,Russia,45.359,40.7026,35843
Kasimov,Russia,54.90271,41.336431,35355
Shumerlya,Russia,55.500495,46.41288,35221
Korsakov,Russia,46.632768,142.781296,35091
Goryachevodskiy,Russia,44.023611,43.092222,35075
Dokshukino,Russia,43.5575,43.850833,35020
Abinsk,Russia,44.87258,38.161109,34669
Kalinino,Russia,45.086677,39.043556,34594
Dinskaya,Russia,45.21782,39.228328,34573
Baltiysk,Russia,54.65382,19.911036,34541
Karabulak,Russia,43.305128,44.899489,34512
Nurlat,Russia,54.427665,50.805109,34452
Ostrogozhsk,Russia,50.866398,39.075615,34403
Kondopoga,Russia,62.205654,34.261382,34360
Kinel,Russia,53.225708,50.629074,34337
Severouralsk,Russia,60.153275,59.952054,34317
Staraya Russa,Russia,57.994387,31.360811,34303
Blagoveshchensk,Russia,55.035,55.978056,34238
Slavgorod,Russia,52.9978,78.6449,34141
Kushva,Russia,58.290556,59.759167,34059
Ust-Dzheguta,Russia,44.0834,41.9763,34001
Rostov,Russia,57.191402,39.41394,33804
Troitsk,Russia,55.48498,37.307359,33785
Petrovsk,Russia,52.306389,45.391667,33622
Istra,Russia,55.91997,36.868667,33391
Segezha,Russia,63.45,34.15,33354
Dyatkovo,Russia,53.597822,34.338248,33339
Zima,Russia,53.885556,102.046389,33324
Verkhniy Ufaley,Russia,56.0556,60.2397,33245
Marks,Russia,51.711111,46.748611,33106
Primorsko-Akhtarsk,Russia,46.0497,38.1747,33103
Kotovsk,Russia,52.58666,41.502104,33077
Asha,Russia,54.9973,57.2722,33007
Gudermes,Russia,43.35071,46.109247,32769
Kholmsk,Russia,47.051111,142.056944,32682
Maloyaroslavets,Russia,55.014572,36.471853,32669
Velikiy Ustyug,Russia,60.761863,46.313519,32642
Desnogorsk,Russia,54.150769,33.28151,32454
Lukhovitsy,Russia,54.942621,39.023819,32388
Udomlya,Russia,57.879444,34.9925,32375
Slobodskoy,Russia,58.694722,50.231389,32362
Bogdanovich,Russia,56.780278,62.049444,32270
Donskoy,Russia,53.68103,38.647755,31968
Kimovsk,Russia,53.971638,38.53186,31947
Kapustin Yar-1,Russia,48.5842,45.7338,31922
Privolzhskiy,Russia,51.409444,46.048333,31849
Gorodets,Russia,56.654932,43.472726,31789
Sosnovoborsk,Russia,56.1217,93.3385,31633
Kudymkar,Russia,59.01729,54.655995,31597
Mozhaysk,Russia,55.501944,36.027222,31557
Barabinsk,Russia,55.357091,78.356971,31509
Gubakha,Russia,58.871596,57.601492,31424
Pavlovskaya,Russia,46.1377,39.7832,31133
Dyurtyuli,Russia,55.491057,54.868828,31088
Yugorsk,Russia,61.313333,63.331944,30878
Sorochinsk,Russia,52.4338,53.1583,30731
Mednogorsk,Russia,51.4128,57.595,30676
Starominskaya,Russia,46.53,39.049722,30461
Borzya,Russia,50.383333,116.516667,30421
Bogoroditsk,Russia,53.771663,38.124079,30216
Kostomuksha,Russia,64.686485,30.815064,30138
Karpinsk,Russia,59.7654,60.0085,30071
Shatura,Russia,55.572529,39.536818,30069
Divnogorsk,Russia,55.9581,92.3726,30018
Kushchëvskaya,Russia,46.5599,39.6321,29915
Sasovo,Russia,54.353688,41.919859,29859
Yemanzhelinsk,Russia,54.754722,61.320833,29849
Sovetskaya Gavan,Russia,48.972303,140.28784,29740
Kirovsk,Russia,67.614749,33.672739,29606
Dalnerechensk,Russia,45.933889,133.7225,29377
Sosnogorsk,Russia,63.602288,53.881751,29343
Mirnyy,Russia,61.332893,44.535982,29341
Morozovsk,Russia,48.355021,41.826269,29290
Zernograd,Russia,46.845176,40.308342,29268
Ipatovo,Russia,45.718056,42.903611,29073
Unecha,Russia,52.845911,32.673942,29028
Poltavskaya,Russia,45.366144,38.211711,29009
Kokhma,Russia,56.934865,41.091504,28984
Gzhatsk,Russia,55.552907,34.995369,28880
Uvarovo,Russia,51.984858,42.261474,28771
Kuvandyk,Russia,51.4781,57.3552,28707
Gusev,Russia,54.592222,22.199722,28690
Karasuk,Russia,53.737718,78.040255,28589
Buturlinovka,Russia,50.823889,40.609167,28581
Kartaly,Russia,53.052222,60.646667,28504
Kochubeyevskoye,Russia,44.649651,41.841779,28491
Neftekumsk,Russia,44.666667,44.916667,28464
Zheleznogorsk-Ilimskiy,Russia,56.5768,104.1217,28456
Tomilino,Russia,55.656195,37.947128,28310
Bezhetsk,Russia,57.785064,36.696512,28114
Poykovskiy,Russia,61.233333,73.333333,28080
Goryachiy Klyuch,Russia,44.630833,39.13,28078
Shcherbinka,Russia,55.435556,37.647778,28066
Polysayevo,Russia,54.6012,86.2459,28028
Aleysk,Russia,52.4926,82.7822,28020
Aleksandrovskoye,Russia,44.714167,43.000833,28006
Kamyshlov,Russia,56.842778,62.711111,28006
Nakhabino,Russia,55.848538,37.177885,27985
Yanaul,Russia,56.271899,54.930862,27963
Pokhvistnevo,Russia,53.6431,52.2211,27914
Kolpashevo,Russia,58.313056,82.908889,27876
Dagestanskiye Ogni,Russia,42.115886,48.192039,27835
Zarechnyy,Russia,56.7878,61.3633,27759
Rodniki,Russia,57.105131,41.73048,27681
Krasnouralsk,Russia,58.3638,60.0407,27656
Novoaleksandrovsk,Russia,45.494802,41.220753,27610
Nikolayevka,Russia,44.089167,43.083056,27597
Atkarsk,Russia,51.871853,45.007752,27554
Kalach-na-Donu,Russia,48.690988,43.526381,27522
Mayskiy,Russia,43.641401,44.038508,27522
Sol-Iletsk,Russia,51.163103,54.991756,27420
Kayerkan,Russia,69.378611,87.743889,27295
Guryevsk,Russia,54.283333,85.933333,27160
Nikolayevsk-na-Amure,Russia,53.140556,140.73,27152
Asino,Russia,56.9979,86.1452,27070
Labytnangi,Russia,66.657222,66.418333,27067
Dedovsk,Russia,55.868611,37.122222,27001
Zeya,Russia,53.75,127.266667,26999
Tara,Russia,56.894356,74.37096,26986
Kotovo,Russia,50.321128,44.80119,26981
Kotelnich,Russia,58.3089,48.348,26837
Pavlovsk,Russia,50.457778,40.108056,26566
Okha,Russia,53.573889,142.947778,26560
Buy,Russia,58.480668,41.536992,26486
Isilkul,Russia,54.91091,71.272823,26429
Semiluki,Russia,51.52115,39.155236,26257
Velsk,Russia,61.070057,42.0983,26162
Kubinka,Russia,55.579569,36.703919,25942
Kaltan,Russia,53.5347,87.2457,25904
Krasnoarmeysk,Russia,51.023889,45.696944,25841
Fokino,Russia,42.983611,132.404722,25827
Nevyansk,Russia,57.4953,60.2112,25822
Krasnoarmeysk,Russia,56.1,38.133333,25689
Zavodoukovsk,Russia,56.504205,66.551531,25683
Severobaykalsk,Russia,55.65,109.316667,25587
Ekazhevo,Russia,43.212222,44.823056,25549
Kireyevsk,Russia,53.933607,37.927924,25513
Omutninsk,Russia,58.670008,52.193195,25364
Nerekhta,Russia,57.458811,40.574708,25353
Nelidovo,Russia,56.221072,32.777378,25349
Mostovskoy,Russia,44.412222,40.793611,25188
Tatarsk,Russia,55.219035,75.982835,25151
Bologoye,Russia,57.828782,34.038339,25142
Metallostroy,Russia,59.800833,30.547778,25123
Yablonovskiy,Russia,44.989009,38.943244,25078
Ust-Katav,Russia,54.9366,58.1757,25046
