City,State,Latitude,Longitude,Pop
Winnenden,Germany,48.883333,9.4,28230
Einbeck,Germany,51.816667,9.866667,28179
Friedberg,Germany,50.35,8.766667,28164
Saalfeld,Germany,50.65,11.366667,28152
Kevelaer,Germany,51.583333,6.25,28148
Lennestadt,Germany,51.116667,8.066667,28142
Schwandorf,Germany,49.326389,12.109722,28124
Rinteln,Germany,52.183333,9.083333,28048
Bad Neuenahr-Ahrweiler,Germany,50.55,7.1,27972
Baesweiler,Germany,50.9,6.183333,27865
Nordenham,Germany,53.5,8.483333,27783
Hamminkeln,Germany,51.733333,6.583333,27755
Selm,Germany,51.7,7.466667,27596
Mechernich,Germany,50.6,6.65,27551
Leichlingen,Germany,51.116667,7.016667,27532
Neckarsulm,Germany,49.192778,9.226111,27530
Ilmenau,Germany,50.683333,10.9,27471
Rösrath,Germany,50.9,7.2,27353
Kulmbach,Germany,50.1,11.45,27346
Leimen,Germany,49.351111,8.689444,27323
Brilon,Germany,51.4,8.583333,27186
Sankt Wendel,Germany,49.466667,7.166667,27162
Petershagen,Germany,52.383333,8.966667,27148
Lübbecke,Germany,52.3,8.616667,27131
Overath,Germany,50.95,7.3,27073
Rathenow,Germany,52.6,12.333333,27058
Strausberg,Germany,52.583333,13.883333,26835
Kelkheim,Germany,50.133333,8.45,26823
Emmendingen,Germany,48.133333,7.85,26820
Wiehl,Germany,50.95,7.533333,26784
Mühlheim,Germany,50.116667,8.833333,26753
Limbach-Oberfrohna,Germany,50.866667,12.75,26721
Espelkamp,Germany,52.383333,8.616667,26684
Mühlacker,Germany,48.95,8.833333,26674
Wiesloch,Germany,49.297778,8.701389,26642
Bad Zwischenahn,Germany,53.183333,8,26641
Landsberg,Germany,48.05,10.866667,26624
Hennigsdorf,Germany,52.633333,13.2,26498
Verden,Germany,52.916667,9.233333,26364
Garmisch-Partenkirchen,Germany,47.5,11.1,26346
Horb,Germany,48.433333,8.683333,26287
Glauchau,Germany,50.816667,12.533333,26260
Schmallenberg,Germany,51.15,8.3,26218
Rheinbach,Germany,50.633333,6.95,26195
Lauf,Germany,49.510278,11.2775,26181
Ehingen,Germany,48.283333,9.733333,26154
Sprockhövel,Germany,51.35,7.25,26125
Henstedt-Ulzburg,Germany,53.783333,10,26062
Arnstadt,Germany,50.833333,10.95,25995
Übach-Palenberg,Germany,50.933333,6.116667,25957
Herdecke,Germany,51.4,7.433333,25954
Olpe,Germany,51.033333,7.85,25939
Werder,Germany,52.383333,12.95,25913
Butzbach,Germany,50.433333,8.683333,25804
Rottweil,Germany,48.166667,8.616667,25783
Rudolstadt,Germany,50.716667,11.333333,25773
Helmstedt,Germany,52.233333,11,25686
Hannoversch Münden,Germany,51.416667,9.683333,25612
Heppenheim,Germany,49.640833,8.637222,25580
Hattersheim,Germany,50.066667,8.466667,25544
Zittau,Germany,50.9,14.833333,25527
Meckenheim,Germany,50.633333,7.016667,25491
